,Commissioning Region/Provider,Certain infectious and parasitic diseases,Neoplasms,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Endocrine, nutritional and metabolic diseases",Mental and behavioural disorders,Diseases of the nervous system,Diseases of the eye and adnexa,Diseases of the ear and mastoid process,Diseases of the circulatory system,Diseases of the respiratory system,Diseases of the digestive system,Diseases of the skin and subcutaneous tissue,Diseases of the musculoskeletal system and connective tissue,Diseases of the genitourinary system,"Pregnancy, childbirth and the puerperium",Certain conditions originating in the perinatal period,"Congenital malformations, deformations and chromosomal abnormalities","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","Injury, poisoning and certain other consequences of external causes",Factors influencing health status and contact with health services,Date Period,Unnamed: 0,Codes for special purposes,Provider Code,ONS Geography Code
5999, Mid Yorkshire Hospitals NHS Trust - (RXF-X) ," 4,135 "," 24,750 "," 3,830 "," 2,925 ", 940 ," 2,920 "," 2,975 ", 645 ," 6,320 "," 10,810 "," 17,685 "," 3,690 "," 10,815 "," 8,100 "," 15,620 "," 1,495 ", 345 ," 14,675 "," 13,900 "," 10,205 ",1920,RXF-X, 60 ,,
6000, Midlands Partnership NHS Foundation Trust - (RRE) , 55 , 195 , 335 , 65 ," 1,470 ", 485 , * , * , 350 , 325 , 60 , 100 ," 2,700 ", 140 , -   , -   , * ," 1,145 ", 465 , 70 ,1920,RRE, -   ,,
6001, Millstream House - (NXP43) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 50 , 10 , 100 , -   , -   , -   , -   , -   , -   , * ,1920,NXP43, -   ,,
6002, Milton Keynes University Hospital NHS Foundation Trust - (RD8) ," 2,710 "," 11,365 "," 1,450 "," 1,360 ", 300 , 670 ," 1,320 ", 415 ," 2,700 "," 5,440 "," 9,510 "," 1,170 "," 2,865 "," 3,725 "," 6,580 "," 1,555 ", 175 ," 8,355 "," 3,740 "," 3,695 ",1920,RD8, 65 ,,
6003, Moorfields Eye Hospital NHS Foundation Trust - (RP6) , * ," 1,085 ", * , 40 , * , 15 ," 35,670 ", * , * , -   , * , 110 , 10 , * , -   , -   , 420 , 15 , 625 , 170 ,1920,RP6, -   ,,
6004, Mount Gould Hospital - (NR527) , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , 80 , * , -   ,1920,NR527, -   ,,
6005, Mount Stuart Hospital - (NVC08) , * , 105 , * , -   , -   , 75 , 860 , -   , -   , 80 , 915 , 30 , 965 , 915 , -   , -   , 15 , 155 , 55 , 130 ,1920,NVC08, -   ,,
6006, New Hall Hospital - (NVC09) , 15 , 25 , 15 , * , -   , 275 , 415 , 10 , * , 55 , 475 , 20 ," 3,810 ", 575 , -   , -   , * , 90 , 80 , 95 ,1920,NVC09, -   ,,
6007, Newmedica - Bristol - Litfield House - (ACG20) , -   , -   , -   , -   , -   , -   ," 2,715 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   ,1920,ACG20, -   ,,
6008, Newmedica - Teesside - North Ormesby - (ACG24) , -   , -   , -   , -   , -   , -   ," 1,365 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   ,1920,ACG24, -   ,,
6009, Newmedica Community Ophthalmology - Gloucestershire - Gloucester (Aspen Centre) - (ACG13) , -   , -   , -   , -   , -   , -   ," 4,320 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1920,ACG13, -   ,,
6010, Newmedica Community Ophthalmology - Leeds - (ACG19) , -   , -   , -   , -   , -   , -   ," 1,940 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1920,ACG19, -   ,,
6011, Newmedica Community Ophthalmology - Leicestershire - Leicester (Stoneygate Eye Hospital) - (ACG07) , -   , -   , -   , -   , -   , -   ," 2,655 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1920,ACG07, -   ,,
6012, Newmedica Community Ophthalmology - North Derbyshire - Barlborough Treatment Centre - (ACG09) , -   , -   , -   , -   , -   , -   ," 2,790 ", -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   ,1920,ACG09, -   ,,
6013, Newmedica Community Ophthalmology - North East Lincolnshire - Grimsby - (ACG12) , -   , -   , -   , -   , -   , -   ," 1,965 ", -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , * , -   ,1920,ACG12, -   ,,
6014, Newmedica Ophthalmology - Nuneaton - Camp Hill - GP Led Health Centre - (ACG08) , -   , -   , -   , -   , -   , -   ," 3,755 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1920,ACG08, -   ,,
6015, Norfolk And Norwich University Hospitals NHS Foundation Trust - (RM1) ," 3,745 "," 42,015 "," 4,295 "," 3,070 ", 950 ," 2,645 "," 6,230 ", 825 ," 12,330 "," 10,725 "," 23,510 "," 3,370 "," 10,285 "," 8,930 "," 12,570 "," 1,830 "," 1,005 "," 14,445 "," 10,760 "," 10,110 ",1920,RM1, 70 ,,
6016, Norfolk And Suffolk NHS Foundation Trust - (RMY-X) , -   , -   , -   , * ," 1,525 ", 10 , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   ," 1,235 ", -   , 190 ,1920,RMY-X, -   ,,
6017, Norfolk Community Health And Care NHS Trust - (RY3) , 70 , 320 , 10 , 90 , 10 , 60 , -   , * , 445 , 270 , 65 , 90 , 225 , 170 , -   , -   , * , 205 , 875 , 535 ,1920,RY3, -   ,,
6018, North Bristol NHS Trust - (RVJ-X) ," 2,500 "," 16,175 "," 4,505 "," 2,065 "," 1,535 "," 4,065 ", 100 , 120 ," 6,765 "," 7,045 "," 16,080 "," 4,360 "," 9,755 "," 11,030 "," 15,265 "," 3,310 ", 390 ," 19,210 "," 12,780 "," 9,705 ",1920,RVJ-X, 85 ,,
6019, North Cumbria Integrated Care NHS Foundation Trust - (RNN) ," 3,020 "," 14,575 "," 1,690 "," 2,470 ", 720 ," 1,455 "," 3,295 ", 420 ," 6,410 "," 7,355 "," 13,135 "," 1,150 "," 4,025 "," 4,180 "," 4,230 "," 1,370 ", 160 ," 4,950 "," 4,395 "," 4,185 ",1920,RNN, 75 ,,
6020, North Downs Hospital - (NVC11) , * , 65 , * , -   , -   , 55 , 125 , -   , 10 , -   , 305 , 25 , 935 , 235 , -   , -   , * , 95 , 30 , 55 ,1920,NVC11, -   ,,
6021, North East London NHS Foundation Trust - (RAT) , 25 , 15 , 25 , 130 ," 2,005 ", * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 695 , * , 80 ,1920,RAT, -   ,,
6022, North East London Treatment Centre Care Uk - (NTP15) , 180 , 310 , 80 , * , -   , 165 , 820 , -   , * , 15 ," 3,380 ", 335 ," 1,515 ", 255 , * , -   , * ," 1,150 ", * , 230 ,1920,NTP15, -   ,,
6023, North Kirklees Msk Service - (NMG77) , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   ,1920,NMG77, -   ,,
6024, North Middlesex University Hospital NHS Trust - (RAP) ," 3,510 "," 10,400 "," 2,465 "," 1,225 ", 435 , 825 ," 4,750 ", 100 ," 3,405 "," 5,035 "," 8,860 "," 2,000 "," 3,270 "," 5,040 "," 6,505 "," 2,570 ", 210 ," 7,940 "," 3,580 "," 5,205 ",1920,RAP, 185 ,,
6025, North Staffordshire Combined Healthcare NHS Trust - (RLY) , -   , -   , -   , -   ," 1,290 ", 110 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 175 , -   , 620 ,1920,RLY, -   ,,
6026, North Tees And Hartlepool NHS Foundation Trust - (RVW) ," 4,215 "," 11,220 "," 3,075 "," 2,350 ", 670 ," 1,235 ", 90 , 220 ," 5,375 "," 9,415 "," 14,735 "," 1,715 "," 6,955 "," 5,460 "," 5,440 "," 1,115 ", 160 ," 10,330 "," 4,840 "," 4,740 ",1920,RVW, 50 ,,
6027, North West Anglia NHS Foundation Trust - (RGN) ," 4,800 "," 17,715 "," 2,585 "," 1,810 ", 835 ," 1,975 "," 4,280 ", 780 ," 6,505 "," 10,820 "," 17,685 "," 2,710 "," 7,690 "," 7,785 "," 8,625 "," 1,670 ", 370 ," 21,740 "," 8,525 "," 8,845 ",1920,RGN, 70 ,,
6028, North West Boroughs Healthcare NHS Foundation Trust - (RTV) , -   , -   , -   , -   ," 1,735 ", * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 630 , -   , 105 ,1920,RTV, -   ,,
6029, Northampton General Hospital NHS Trust - (RNS) ," 3,540 "," 15,500 "," 3,005 "," 3,560 "," 1,495 "," 2,315 "," 3,170 ", 515 ," 6,210 "," 8,185 "," 13,855 "," 2,190 "," 5,205 "," 4,825 "," 11,425 "," 1,585 ", 420 ," 13,480 "," 7,870 "," 6,235 ",1920,RNS, 65 ,,
6030, Northamptonshire Healthcare NHS Foundation Trust - (RP1) , -   , -   , -   , -   , 795 , 50 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,790 ", -   , * ,1920,RP1, -   ,,
6031, Northern Devon Healthcare NHS Trust - (RBZ) ," 1,200 "," 8,660 "," 1,200 "," 1,170 ", 355 ," 1,205 "," 1,980 ", 50 ," 3,055 "," 3,080 "," 7,045 "," 1,095 "," 3,780 "," 2,915 "," 3,635 ", 615 , 85 ," 5,225 "," 3,000 "," 2,810 ",1920,RBZ, * ,,
6032, Northern Lincolnshire And Goole NHS Foundation Trust - (RJL-X) ," 2,820 "," 10,880 "," 1,930 "," 1,350 ", 470 ," 1,355 "," 8,240 ", 340 ," 6,500 "," 8,120 "," 23,795 "," 1,390 "," 5,785 "," 6,790 "," 7,685 "," 1,295 ", 165 ," 12,135 "," 4,865 "," 5,670 ",1920,RJL-X, 20 ,,
6033, Northumbria Healthcare NHS Foundation Trust - (RTF) ," 4,410 "," 22,955 "," 2,110 "," 2,110 "," 1,540 "," 3,205 ", 215 , 350 ," 8,605 "," 10,175 "," 19,220 "," 4,180 "," 14,310 "," 6,230 "," 7,760 "," 1,130 ", 330 ," 18,140 "," 11,600 "," 6,120 ",1920,RTF, 65 ,,
6034, Nottingham University Hospitals NHS Trust - (RX1) ," 7,270 "," 48,605 "," 6,705 "," 3,650 "," 1,870 "," 6,455 "," 8,535 "," 1,155 "," 11,945 "," 12,950 "," 22,890 "," 3,750 "," 14,150 "," 9,285 "," 19,300 "," 2,935 "," 1,850 "," 26,970 "," 16,655 "," 18,175 ",1920,RX1, 190 ,,
6035, Nottinghamshire Healthcare NHS Foundation Trust - (RHA) , 55 , 235 , 10 , 15 ," 1,395 ", 145 , -   , -   , 50 , 90 , 35 , 10 , 50 , 20 , 20 , -   , * , 475 , 200 , 25 ,1920,RHA, -   ,,
6036, Novus Health (Sandal Castle Medical Centre) - (NQH25) , -   , 140 , -   , -   , -   , 290 , 15 , -   , * , -   , -   , * , * , -   , -   , -   , -   , -   , -   , -   ,1920,NQH25, -   ,,
6037," Nuffield Health, Bournemouth Hospital - (NT202) ", * , 325 , -   , -   , -   , 15 , * , * , -   , * , 120 , 60 , 200 , 80 , -   , -   , * , 10 , * , 10 ,1920,NT202, -   ,,
6038," Nuffield Health, Brentwood Hospital - (NT204) ", -   , 75 , -   , * , -   , * , -   , * , -   , * , 140 , * , 445 , 545 , -   , -   , * , 20 , 25 , 20 ,1920,NT204, -   ,,
6039," Nuffield Health, Brighton Hospital - (NT205) ", -   , * , -   , -   , 250 , -   , -   , -   , -   , -   , 75 , -   , 250 , * , -   , -   , -   , -   , * , 10 ,1920,NT205, -   ,,
6040," Nuffield Health, Bristol Hospital (Chesterfield) - (NT206) ", * , * , 25 , * , -   , 175 , 115 , * , -   , -   , 290 , * ," 1,125 ", * , -   , -   , * , 175 , 10 , * ,1920,NT206, -   ,,
6041," Nuffield Health, Cambridge Hospital - (NT209) ", * , * , * , -   , -   , 25 , -   , -   , -   , -   , 75 , * , 320 , -   , -   , -   , -   , 30 , * , * ,1920,NT209, -   ,,
6042," Nuffield Health, Cheltenham Hospital - (NT211) ", -   , -   , -   , -   , -   , * , -   , -   , -   , -   , 55 , -   , 90 , -   , -   , -   , -   , -   , * , -   ,1920,NT211, -   ,,
6043," Nuffield Health, Chichester Hospital - (NT212) ", -   , 20 , -   , -   , -   , 15 , -   , -   , -   , -   , 35 , * ," 1,145 ", 105 , -   , -   , -   , 15 , 15 , * ,1920,NT212, -   ,,
6044," Nuffield Health, Derby Hospital - (NT213) ", * , 10 , -   , * , * , 10 , -   , 30 , * , 95 , 205 , * ," 1,495 ", * , -   , -   , * , 20 , 30 , 15 ,1920,NT213, -   ,,
6045," Nuffield Health, Exeter Hospital - (NT215) ", -   , * , -   , -   , -   , -   , -   , -   , 30 , -   , 35 , * , 95 , * , -   , -   , -   , * , * , * ,1920,NT215, -   ,,
6046," Nuffield Health, Haywards Heath Hospital - (NT218) ", -   , * , -   , -   , -   , 45 , * , -   , -   , -   , 110 , * , 290 , -   , -   , -   , * , 30 , * , * ,1920,NT218, -   ,,
6047," Nuffield Health, Hereford Hospital - (NT219) ", -   , * , -   , -   , * , 10 , -   , -   , -   , * , 245 , * , 305 , -   , -   , -   , -   , -   , * , * ,1920,NT219, -   ,,
6048," Nuffield Health, Leeds Hospital - (NT225) ", 60 , 55 , * , -   , * , 150 , -   , -   , * , 280 ," 1,055 ", 35 ," 1,375 ", 385 , -   , -   , 10 , 160 , 50 , 45 ,1920,NT225, -   ,,
6049," Nuffield Health, Leicester Hospital - (NT226) ", * , * , -   , -   , -   , 25 , -   , 20 , * , 125 , 265 , * , 500 , -   , -   , -   , * , * , * , * ,1920,NT226, -   ,,
6050," Nuffield Health, Newcastle Upon Tyne Hospital - (NT229) ", -   , -   , -   , -   , * , -   , 40 , -   , -   , -   , -   , -   , 215 , -   , -   , -   , * , -   , * , 85 ,1920,NT229, -   ,,
6051," Nuffield Health, North Staffordshire Hospital - (NT230) ", -   , * , -   , -   , -   , 55 , -   , -   , -   , -   , 65 , 10 ," 2,060 ", -   , -   , -   , * , 10 , 55 , * ,1920,NT230, -   ,,
6052," Nuffield Health, Plymouth Hospital - (NT233) ", 10 , 60 , 15 , * , 70 , 10 , -   , -   , -   , -   , 735 , 30 ," 1,225 ", 25 , -   , -   , * , 170 , 30 , 50 ,1920,NT233, -   ,,
6053," Nuffield Health, Shrewsbury Hospital - (NT235) ", -   , 10 , -   , * , -   , 105 ," 1,240 ", -   , -   , -   , 80 , * , 600 , -   , -   , -   , * , * , 20 , * ,1920,NT235, -   ,,
6054," Nuffield Health, Taunton Hospital - (NT238) ", -   , * , 15 , * , -   , 115 , -   , 10 , -   , 35 , 80 , * , 550 , * , -   , -   , * , -   , * , * ,1920,NT238, -   ,,
6055," Nuffield Health, Tees Hospital - (NT237) ", -   , 15 , -   , 20 , -   , 85 ," 1,890 ", -   , * , -   , 180 , * ," 1,540 ", * , -   , -   , * , * , 45 , 10 ,1920,NT237, -   ,,
6056," Nuffield Health, The Grosvenor Hospital, Chester - (NT210) ", -   , -   , * , 315 , * , * , -   , -   , -   , -   , 70 , * , 405 , -   , -   , -   , -   , 15 , 50 , * ,1920,NT210, -   ,,
6057," Nuffield Health, Tunbridge Wells Hospital - (NT239) ", -   , * , -   , -   , -   , * , -   , -   , -   , 15 , 85 , * , 170 , 40 , -   , -   , -   , 10 , * , * ,1920,NT239, -   ,,
6058," Nuffield Health, Warwickshire Hospital - (NT224) ", -   , * , -   , -   , -   , 40 , -   , -   , -   , -   , -   , * , 450 , -   , -   , -   , -   , -   , 25 , * ,1920,NT224, -   ,,
6059," Nuffield Health, Wessex Hospital - (NT214) ", -   , * , -   , -   , -   , 25 , -   , -   , -   , -   , 50 , * , 770 , * , -   , -   , * , -   , 15 , -   ,1920,NT214, -   ,,
6060," Nuffield Health, Woking Hospital - (NT241) ", -   , * , -   , -   , -   , 15 , 20 , -   , -   , -   , -   , -   , 360 , * , -   , -   , * , * , * , * ,1920,NT241, -   ,,
6061," Nuffield Health, Wolverhampton Hospital - (NT242) ", -   , * , -   , -   , -   , 80 ," 1,900 ", -   , -   , -   , 135 , * , 900 , -   , -   , -   , * , -   , * , * ,1920,NT242, -   ,,
6062," Nuffield Health, York Hospital - (NT245) ", -   , * , * , -   , -   , 20 , -   , -   , -   , -   , -   , * , 590 , -   , -   , -   , * , -   , 25 , -   ,1920,NT245, -   ,,
6063, Nuffield Hospital (Standard Health) - (NHW02) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 25 , -   , -   , -   , -   , -   , -   , -   ,1920,NHW02, -   ,,
6064, Nuffield Hospital Oxford (The Manor) - (NT244) , -   , 20 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 180 , -   , -   , -   , * , -   , * , -   ,1920,NT244, -   ,,
6065, Oaklands Hospital - (NEY14) , -   , * , -   , * , * , * , -   , -   , -   , -   , -   , -   , 65 , -   , -   , -   , -   , * , -   , -   ,1920,NEY14, -   ,,
6066, Oaklands Hospital - (NVC12) , 115 , 135 , 60 , * , * , 240 , 100 , 30 , * , 75 ," 2,215 ", 195 ," 2,190 ", 470 , * , -   , 15 , 335 , 70 , 355 ,1920,NVC12, -   ,,
6067, Oaks Hospital - (NVC13) , * , 15 , -   , * , -   , * , 135 , -   , 10 , * , 150 , 15 , 200 , 30 , -   , -   , * , 15 , * , 20 ,1920,NVC13, -   ,,
6068, Oasis Health Care - (NY6D2) , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , 55 , -   , -   , -   , -   , 25 , -   , -   ,1920,NY6D2, -   ,,
6069, Old Town Surgery - (NXP02) , * , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , * , 85 , -   , -   , -   , -   , -   , -   , -   ,1920,NXP02, -   ,,
6070, One Ashford Hospital - (AVQ01) , * , 15 , * , -   , -   , 15 , -   , -   , * , -   , 225 , 10 , 690 , 130 , -   , -   , * , 20 , 10 , * ,1920,AVQ01, -   ,,
6071, One Hatfield Hospital - (AVQ03) , -   , -   , -   , -   , -   , 15 , -   , -   , -   , -   , -   , -   , 120 , -   , -   , -   , -   , * , * , -   ,1920,AVQ03, -   ,,
6072, One Health Group - Barlborough Treatment Centre - (NTX51) , -   , * , -   , 30 , 20 , 20 , * , -   , 30 , * , * , -   , 635 , * , -   , -   , * , 15 , * , 10 ,1920,NTX51, -   ,,
6073, One Health Group - Doncaster Clinic - (NTX24) , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , 25 , -   , -   , -   , -   , -   , -   , * ,1920,NTX24, -   ,,
6074, One Health Group Clinic - Claremont - (NTX12) , -   , 30 , * , * , * , 15 , -   , -   , * , -   , 340 , 20 , 185 , 275 , -   , -   , * , 85 , * , 25 ,1920,NTX12, -   ,,
6075, One Health Group Clinic - Gainsborough - (NTX09) , -   , -   , -   , * , -   , -   , -   , -   , * , * , * , -   , 160 , * , -   , -   , -   , * , -   , * ,1920,NTX09, -   ,,
6076, One Health Group Clinic - Osset - (NTX06) , -   , -   , -   , * , -   , * , -   , -   , * , * , -   , -   , 250 , -   , -   , -   , -   , * , -   , * ,1920,NTX06, -   ,,
6077, One Health Group Clinic - Thornbury - (NTX11) , * , 75 , 10 , 25 , 15 , 125 , * , -   , 40 , 20 , 720 , 85 ," 1,310 ", 325 , -   , -   , 10 , 185 , 15 , 40 ,1920,NTX11, -   ,,
6078, One Health Group Ltd - (NTX01) , * , 20 , * , -   , -   , -   , -   , -   , * , * , 355 , 35 , -   , * , -   , -   , -   , 75 , -   , * ,1920,NTX01, -   ,,
6079, Optegra (Birmingham Eye Hospital) - (NNH05) , -   , -   , -   , -   , -   , -   ," 1,000 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1920,NNH05, -   ,,
6080, Optegra (Manchester Eye Hospital) - (NNH04) , -   , -   , -   , -   , -   , -   ," 6,615 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1920,NNH04, -   ,,
6081, Optegra (Solent Eye Hospital) - (NNH06) , -   , -   , -   , -   , -   , -   , 555 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1920,NNH06, -   ,,
6082, Optegra (Surrey Eye Hospital) - (NNH03) , -   , -   , -   , -   , -   , -   , 170 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1920,NNH03, -   ,,
6083, Optegra London Eye Hospital - (NNH07) , -   , -   , -   , -   , -   , -   ," 1,675 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1920,NNH07, -   ,,
6084, Optegra Yorkshire Eye Hospital - (NNH02) , -   , -   , -   , -   , -   , -   ," 1,285 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1920,NNH02, -   ,,
6085, Orthopaedics & Spine Specialist Hospital Site - (NQM01) , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , 290 , -   , -   , -   , -   , * , * , -   ,1920,NQM01, -   ,,
6086, Oxford Health NHS Foundation Trust - (RNU) , 20 , 25 , * , 40 ," 1,520 ", 100 , * , -   , 175 , 170 , 20 , 45 , 55 , 65 , -   , * , -   , 295 , 220 , 120 ,1920,RNU, * ,,
6087, Oxford University Hospitals NHS Foundation Trust - (RTH) ," 5,595 "," 21,630 "," 5,050 "," 4,645 "," 1,060 "," 6,475 "," 6,945 ", 995 ," 14,090 "," 13,700 "," 27,845 "," 4,290 "," 10,860 "," 12,805 "," 11,260 "," 3,040 "," 2,170 "," 20,845 "," 15,660 "," 13,680 ",1920,RTH, 125 ,,
6088, Oxleas NHS Foundation Trust - (RPG) , -   , -   , -   , -   ," 1,765 ", 50 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 590 , -   , 20 ,1920,RPG, -   ,,
6089, Pain Management Solutions - Croft Shifa Health Centre - (NY60C) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 370 , -   , -   , -   , -   , 10 , -   , -   ,1920,NY60C, -   ,,
6090, Pain Management Solutions - George Eliot Hospital NHS Trust - (NY61G) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 , -   , -   , -   , -   , 15 , -   , -   ,1920,NY61G, -   ,,
6091, Pain Management Solutions - Irish World Heritage Centre - (NY6E8) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 45 , -   , -   , -   , -   , * , -   , -   ,1920,NY6E8, -   ,,
6092, Pain Management Solutions - Scunthorpe General Hospital - (NY60M) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 95 , -   , -   , -   , -   , * , -   , -   ,1920,NY60M, -   ,,
6093, Pain Management Solutions - Severn Fields Health Village - (NY677) , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , 190 , -   , -   , -   , -   , 15 , -   , -   ,1920,NY677, -   ,,
6094, Pain Management Solutions - Shrewsbury Sports Village - (NY693) , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , 95 , -   , -   , -   , -   , 10 , -   , -   ,1920,NY693, -   ,,
6095, Pain Management Solutions (Horder Healthcare) - (NY631) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 55 , -   , -   , -   , -   , * , -   , -   ,1920,NY631, -   ,,
6096, Park Hill Hospital - (NVC14) , -   , 10 , * , * , -   , 55 , -   , -   , -   , * , 85 , 20 , 545 , -   , -   , -   , * , * , 15 , * ,1920,NVC14, -   ,,
6097, Paulton Memorial Hospital - (NQT5H) , 15 , 10 , * , * , 15 , 10 , -   , -   , 20 , 50 , 15 , * , 15 , 25 , -   , -   , -   , 30 , 105 , * ,1920,NQT5H, -   ,,
6098, Peninsula NHS Treatment Centre - (NTPH5) , 40 , 15 , 10 , -   , -   , * ," 1,755 ", -   , -   , * , 795 , 10 , 25 , * , -   , -   , * , 185 , * , 30 ,1920,NTPH5, -   ,,
6099, Pennine Acute Hospitals NHS Trust - (RW6) ," 8,425 "," 18,360 "," 6,595 "," 4,340 "," 1,820 "," 2,945 "," 4,510 "," 1,010 "," 12,730 "," 20,385 "," 31,980 "," 4,750 "," 13,445 "," 10,380 "," 12,355 "," 2,820 ", 295 ," 23,530 "," 12,575 "," 7,035 ",1920,RW6, 215 ,,
6100, Phoenix Health Solutions Limited - (NEQ01) , -   , 80 , 40 , -   , -   , 45 , 260 , -   , 10 , -   , 340 , -   , -   , 25 , -   , -   , -   , 735 , -   , 300 ,1920,NEQ01, -   ,,
6101, Pinehill Hospital - (NVC15) , 35 , 80 , 25 , * , -   , 75 , 590 , 15 , * , 80 ," 1,315 ", 15 ," 1,490 ", 560 , -   , -   , * , 240 , 20 , 80 ,1920,NVC15, -   ,,
6102, Pioneer Healthcare Ltd - Claremont Hospital - (NEY01) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 75 , -   , -   , -   , -   , -   , -   , -   ,1920,NEY01, -   ,,
6103, Poole Hospital NHS Foundation Trust - (RD3) ," 2,775 "," 9,865 "," 1,835 "," 1,285 ", 520 ," 1,750 ", 175 ," 1,105 "," 3,195 "," 6,735 "," 11,635 "," 2,605 "," 3,510 "," 2,515 "," 5,390 "," 1,310 ", 310 ," 8,960 "," 7,505 "," 6,195 ",1920,RD3, 20 ,,
6104, Portsmouth Hospitals NHS Trust - (RHU) ," 3,760 "," 12,335 "," 3,720 "," 2,590 "," 1,330 "," 2,195 "," 9,995 "," 1,090 "," 8,225 "," 10,650 "," 21,195 "," 2,930 "," 10,255 "," 8,300 "," 8,555 "," 1,275 ", 455 ," 16,115 "," 10,810 "," 9,825 ",1920,RHU, 65 ,,
6105, Probus Surgical Centre - (NAM01) , -   , * , -   , -   , -   , 275 ," 1,505 ", -   , -   , -   , 490 , -   , -   , -   , -   , -   , -   , -   , * , 325 ,1920,NAM01, -   ,,
6106, Queen Victoria Hospital NHS Foundation Trust - (RPC) , 35 ," 4,050 ", * , 15 , 35 ," 2,510 "," 2,925 ", 20 , 45 , 75 ," 2,430 "," 1,600 ", 810 , 35 , * , -   , 230 , 365 ," 4,625 ", 820 ,1920,RPC, -   ,,
6107, Renacres Hospital - (NVC16) , 15 , 140 , 35 , * , -   , 165 , 450 , 50 , * , 190 ," 1,450 ", 35 ," 2,200 ", 370 , -   , -   , 15 , 270 , 40 , 95 ,1920,NVC16, -   ,,
6108, Rivers Hospital - (NVC19) , 90 , 85 , 55 , * , * , 175 ," 1,535 ", 10 , * , 140 ," 3,775 ", 30 ," 1,935 "," 1,290 ", -   , -   , 10 , 835 , 40 , 245 ,1920,NVC19, -   ,,
6109, Rotherham Doncaster And South Humber NHS Foundation Trust - (RXE) , * , 145 , * , * , 940 , 55 , -   , * , 45 , 30 , * , 10 , 95 , 15 , -   , -   , -   , 975 , 230 , 50 ,1920,RXE, -   ,,
6110, Rowley Hall Hospital - (NVC17) , 40 , 55 , 25 , * , -   , 125 ," 1,670 ", -   , 10 , * ," 1,005 ", 30 ," 2,445 ", 555 , * , -   , * , 490 , 60 , 100 ,1920,NVC17, -   ,,
6111, Royal Berkshire NHS Foundation Trust - (RHW) ," 3,110 "," 9,485 "," 2,745 "," 2,210 ", 895 ," 1,585 "," 5,820 ", 445 ," 5,155 "," 6,350 "," 12,060 "," 1,705 "," 8,425 "," 5,595 "," 11,030 "," 1,600 ", 290 ," 15,575 "," 7,290 "," 9,710 ",1920,RHW, 95 ,,
