"Table E: Finished admission episodes by primary diagnosis chapter for England, Area Team and individual provider (2013-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Health and Social Care Information Centre, Hospital Episode Statistics for England. Inpatient statistics, 2013-14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Area Team/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Codes for special purposes (U00-U89) ,Factors influencing health status and contact with health services (Z00-Z99),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXX, Surrey and Borders Partnership NHS Foundation Trust , -   , -   , -   , * ," 1,625 ", 119 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 30 ," 1,224 ", * , -   , 25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTP, Surrey and Sussex Healthcare NHS Trust ," 1,868 "," 4,467 "," 1,321 ", 815 , 560 ," 1,227 "," 3,786 ", 649 ," 5,504 "," 5,286 "," 12,092 "," 1,260 "," 4,987 "," 4,717 "," 6,263 "," 1,719 ", 353 ," 10,038 "," 5,942 ", -   ," 5,310 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDR, Sussex Community NHS Trust , 7 , 32 , * , 26 , 23 , 100 , * , -   , 209 , 63 , 31 , 31 , 532 , 53 , -   , -   , 35 ," 1,504 ", 171 , -   , 214 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX2, Sussex Partnership NHS Foundation Trust , * , -   , -   , * ," 3,446 ", 107 , -   , -   , * , -   , -   , -   , -   , -   , * , -   , -   , 871 , -   , -   , 9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR511, Syrena House , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , * , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NXP09, Syston Health Centre , -   , -   , -   , -   , -   , 8 , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , * , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMP, Tameside Hospital NHS Foundation Trust ," 1,597 "," 2,653 "," 1,196 "," 1,091 ", 744 , 968 , 43 , 264 ," 4,010 "," 4,481 "," 7,829 "," 1,031 "," 4,267 "," 2,835 "," 4,341 ", 797 , 103 ," 6,182 "," 3,582 ", -   ," 3,017 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBA, Taunton and Somerset NHS Foundation Trust ," 1,732 "," 13,835 "," 1,408 "," 1,111 ", 241 ," 1,925 "," 3,535 ", 527 ," 6,553 "," 3,952 "," 9,363 "," 1,620 "," 4,450 "," 4,665 "," 7,954 "," 1,173 ", 273 ," 11,213 "," 5,716 ", -   ," 6,153 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC35, Tees Valley Treatment Centre , 73 , 663 , 73 , * , * , 220 , * , 9 , 377 , -   ," 2,188 ", 480 , 440 , 295 , -   , -   , * , 443 , 6 , -   , 174 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX3," Tees, Esk and Wear Valleys NHS Foundation Trust ", -   , * , -   , * ," 2,239 ", 172 , -   , -   , -   , * , -   , -   , -   , * , -   , -   , -   , 279 , -   , -   ," 2,105 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTY48, Tetbury Hospital , 7 , 293 , -   , -   , -   , 34 , 86 , 13 , * , -   , 39 , 110 , 159 , 43 , -   , -   , * , 52 , * , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAH01, Tetbury Hospital Trust , * , 73 , -   , -   , -   , 7 , 22 , * , -   , -   , 14 , 23 , 12 , 7 , -   , -   , -   , * , * , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC02, The Berkshire Independent Hospital , 52 , 32 , 26 , -   , * , 55 , 77 , -   , 44 , -   , 630 , 11 ," 1,124 ", 168 , -   , -   , * , 158 , 48 , -   , 11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBV, The Christie NHS Foundation Trust , 489 ," 10,588 "," 1,201 ", 565 , * , 132 , 266 , * , 195 , 423 , 583 , 303 , 188 , 292 , * , -   , 27 , 981 , 264 , -   ," 1,605 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REN, The Clatterbridge Cancer Centre NHS Foundation Trust , 110 ," 2,475 ", 396 , 117 , * , 157 , -   , -   , 28 , 37 , 65 , 15 , 15 , 52 , -   , -   , * , 137 , 12 , -   , 43 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTPAE, The Croft Shifa Health Centre , -   , 21 , -   , -   , -   , * ," 1,110 ", -   , -   , -   , -   , * , -   , -   , -   , -   , * , 44 , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNA, The Dudley Group NHS Foundation Trust ," 2,578 "," 13,411 "," 1,340 "," 1,410 ", 535 ," 1,573 "," 4,285 ", 486 ," 5,688 "," 6,494 "," 11,123 "," 2,537 "," 10,228 "," 5,539 "," 13,252 "," 1,906 ", 579 ," 11,211 "," 6,775 ", -   ," 8,118 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAS, The Hillingdon Hospitals NHS Foundation Trust ," 1,635 "," 3,905 "," 1,355 ", 884 , 416 ," 1,193 "," 1,938 ", 72 ," 2,454 "," 2,903 "," 6,814 "," 1,233 "," 6,403 "," 4,028 "," 7,631 "," 1,195 ", 166 ," 7,178 "," 3,537 ", -   ," 4,226 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NXM01, The Horder Centre - St Johns Road , * , * , * , -   , * , 152 , -   , -   , * , * , * , 22 ," 4,272 ", -   , -   , -   , 11 , 12 , 177 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD, The Newcastle Upon Tyne Hospitals NHS Foundation Trust ," 4,058 "," 36,487 "," 4,701 "," 3,565 ", 679 ," 7,130 "," 11,341 "," 1,855 "," 14,748 "," 10,263 "," 23,286 "," 6,591 "," 16,952 "," 10,881 "," 10,489 "," 2,402 "," 4,500 "," 17,596 "," 13,413 ", -   ," 16,644 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTP35, The Phoenix Centre , -   , -   , -   , -   , -   , -   , 218 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 7 , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQW, The Princess Alexandra Hospital NHS Trust , 876 ," 7,562 "," 1,480 "," 1,111 ", 384 , 890 ," 1,607 ", 318 ," 3,870 "," 3,697 "," 7,167 ", 901 ," 5,251 "," 4,302 "," 8,141 ", 676 , 212 ," 9,243 "," 4,059 ", -   ," 5,883 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCX," The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust "," 1,757 "," 10,111 "," 2,237 ", 793 , 302 , 864 ," 4,274 ", 358 ," 3,653 "," 4,036 "," 8,802 "," 1,638 "," 4,503 "," 5,295 "," 5,989 ", 864 , 181 ," 8,417 "," 3,691 ", -   ," 4,945 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL1, The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust , * , 406 , 24 , 11 , 6 ," 1,168 ", 6 , * , 41 , 21 , 8 , 188 ," 10,072 ", 23 , -   , -   , 199 , 57 ," 1,578 ", -   , 628 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFR, The Rotherham NHS Foundation Trust ," 1,376 "," 6,045 ", 965 , 555 , 245 ," 1,134 "," 8,946 ", 425 ," 3,749 "," 5,277 "," 10,756 "," 1,339 "," 4,101 "," 6,008 "," 7,927 ", 196 , 115 ," 8,135 "," 4,405 ", -   ," 2,614 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDZ, The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust , 785 ," 18,786 "," 2,489 "," 1,655 ", 532 ," 2,270 "," 10,384 ", 57 ," 9,662 "," 2,515 "," 9,802 "," 1,058 "," 9,923 "," 5,126 ", 779 , -   , * ," 15,103 "," 3,693 ", * ," 4,766 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPY, The Royal Marsden NHS Foundation Trust , 212 ," 16,304 ", 586 , 175 , * , 34 , 7 , * , 111 , 228 , 907 , 129 , 32 , 442 , -   , -   , 18 , 576 , 249 , -   ," 2,316 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRJ, The Royal Orthopaedic Hospital NHS Foundation Trust , 7 ," 1,726 ", 9 , * , -   , 606 , -   , -   , * , * , -   , 70 ," 9,808 ", * , -   , -   , 255 , 8 ," 1,330 ", -   , 543 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL4, The Royal Wolverhampton NHS Trust ," 2,983 "," 18,799 "," 2,385 "," 1,706 ", 474 ," 1,626 "," 4,293 ", 484 ," 8,120 "," 6,305 "," 11,441 "," 1,678 "," 7,011 "," 5,987 "," 8,695 "," 1,529 ", 503 ," 10,066 "," 5,076 ", -   ," 7,235 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NN801, The Spencer Wing , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 17 , -   , -   , -   , -   ," 1,927 ", -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RET, The Walton Centre NHS Foundation Trust , 13 , 706 , 25 , 18 , 22 ," 3,474 ", 80 , * , 667 , 7 , 7 , 13 ," 3,208 ", 14 , * , -   , 192 , 864 , 663 , -   , 459 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC44, The Westbourne Centre , * , 13 , -   , * , -   , 18 , 125 , -   , * , * , 145 , 21 , 42 , 13 , -   , -   , 10 , -   , 6 , -   , 69 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RKE, The Whittington Hospital NHS Trust ," 1,165 "," 3,797 "," 3,141 ", 946 , 575 , 604 , 54 , 86 ," 1,765 "," 2,602 "," 7,052 "," 1,186 "," 3,566 "," 3,861 "," 8,771 "," 1,646 ", 128 ," 6,260 "," 3,457 ", -   ," 4,939 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC20, The Yorkshire Clinic , 92 , 696 , 30 , * , * , 454 , 836 , 76 , 523 , 219 ," 1,717 ", 459 ," 2,494 ", 817 , * , -   , 28 , 578 , 81 , -   , 327 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1G, Torbay and Southern Devon Health and Care NHS Trust , 111 , 321 , 164 , 121 , 34 , 102 , * , 18 , 567 , 546 , 210 , 159 , 259 , 371 , -   , -   , * , 431 , 958 , -   , 92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NN401, Tyneside Surgical Services At The North East NHS Surgery Centre , 7 , 14 , * , -   , -   , 31 , -   , -   , 26 , -   , 105 , 19 , 892 , 24 , -   , -   , * , 22 , * , -   , 15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWD, United Lincolnshire Hospitals NHS Trust ," 3,224 "," 23,072 "," 2,441 "," 1,907 ", 472 ," 2,465 "," 5,449 ", 593 ," 9,316 "," 8,353 "," 17,159 "," 2,448 "," 11,974 "," 9,013 "," 10,730 "," 1,495 ", 414 ," 16,361 "," 10,329 ", -   ," 9,630 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRV, University College London Hospitals NHS Foundation Trust ," 2,200 "," 35,052 "," 5,979 "," 2,162 ", 891 ," 13,936 ", 730 ," 1,266 "," 8,592 "," 5,208 "," 17,558 "," 1,483 "," 9,758 "," 7,050 "," 12,457 "," 3,647 "," 1,496 "," 11,368 "," 5,020 ", -   ," 11,906 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJE, University Hospital Of North Staffordshire NHS Trust ," 3,570 "," 21,211 "," 1,949 "," 2,039 "," 1,001 "," 5,097 "," 3,335 ", 834 ," 12,249 "," 11,339 "," 17,792 "," 2,756 "," 6,719 "," 8,852 "," 17,403 "," 3,018 ", 646 ," 16,397 "," 11,264 ", -   ," 10,134 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RM2, University Hospital Of South Manchester NHS Foundation Trust ," 2,131 "," 9,704 ", 706 ," 1,289 ", 472 ," 1,641 ", 91 , 442 ," 9,531 "," 7,669 "," 9,787 "," 2,237 "," 7,941 "," 6,723 "," 6,249 "," 2,151 ", 844 ," 8,997 "," 8,158 ", -   ," 6,670 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
