 SHA/Provider ,Certain infectious and parasitic diseases (A00-B99),Neoplasms (C00-D48),Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),"Endocrine, nutritional and metabolic diseases (E00-E90)",Mental and behavioural disorders (F00-F99),Diseases of the nervous system (G00-G99),Diseases of the eye and adnexa (H00-H59),Diseases of the ear and mastoid process (H60-H95),Diseases of the circulatory system (I00-I99),Diseases of the respiratory system (J00-J99),Diseases of the digestive system (K00-K93),Diseases of the skin and subcutaneous tissue (L00-L99),Diseases of the musculoskeletal system and connective tissue (M00-M99),Diseases of the genitourinary system (N00-N99),"Pregnancy, childbirth and the puerperium (O00-O99)",Certain conditions originating in the perinatal period (P00-P96),"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Injury, poisoning and certain other consequences of external causes (S00-T98)",Factors influencing health status and contact with health services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5QQ Devon PCT , 98 ," 1,803 ", 515 , 191 , 189 , 669 , 549 , 27 ," 1,162 ", 895 ," 1,661 ", 897 ," 1,066 "," 1,000 ", 874 , 73 , 8 ," 1,516 "," 1,312 "," 2,534 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" NT215 Nuffield Health, Exeter Hospital ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" NT233 Nuffield Health, Plymouth Hospital ", -   , 29 , -   , -   , -   , -   , -   , * , 32 , * , 103 , 28 , 32 , 42 , -   , -   , -   , 16 , * , 7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" NT238 Nuffield Health, Taunton Hospital ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT302 Spire Bristol Hospital , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , 17 , -   , -   , -   , -   , 54 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT501 Peninsula NHS Treatment Centre , * , 17 , * , -   , -   , 234 , -   , -   , * , -   , -   , 34 ," 3,073 ", -   , -   , -   , * , 47 , 103 , 11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NTC01 Shepton Mallet NHS Treatment Centre , 22 , 126 , 35 , * , * , 593 ," 2,159 ", -   , 112 , * ," 1,842 ", 176 ," 3,446 ", * , -   , -   , * , 256 , 40 , 32 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NTY48 Tetbury Hospital , -   , 9 , -   , -   , -   , * , * , -   , -   , -   , -   , * , 37 , 26 , -   , -   , -   , * , * , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NVC04 Duchy Hospital , -   , 90 , -   , -   , -   , 42 , -   , -   , 18 , 41 , 70 , * , 444 , * , -   , -   , -   , 23 , 54 , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NVC08 Mount Stuart Hospital , -   , 28 , * , * , * , 28 , 10 , * , 22 , 70 , 192 , 44 , 573 , 277 , -   , -   , * , 368 , * , 38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NVC10 New Hall NHS Treatment Centre , -   , -   , -   , -   , -   , 262 , -   , -   , -   , -   , -   , * ," 1,869 ", -   , -   , -   , -   , * , 50 , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NVC22 Winfield Hospital , -   , * , -   , -   , -   , * , -   , -   , * , * , 74 , * , 94 , * , -   , -   , -   , 12 , * , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NVC24 Bodmin NHS Treatment Centre , 6 , 99 , 28 , * , * , -   ," 1,298 ", -   , 222 , 6 ," 1,578 ", 152 , -   , 78 , * , -   , 10 , 281 , -   , 338 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RA3 Weston Area Health NHS Trust , 217 ," 4,609 ", 401 , 361 , 193 , 599 , 18 , 61 ," 2,087 "," 1,697 "," 3,729 ", 618 ," 2,231 "," 2,245 "," 1,242 ", 123 , 19 ," 4,453 "," 2,422 "," 3,748 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RA4 Yeovil District Hospital NHS Foundation Trust , 359 ," 4,424 ", 633 , 496 , 160 , 650 ," 1,270 ", 109 ," 2,571 "," 1,718 "," 5,583 ", 839 ," 3,323 "," 2,387 "," 2,642 ", 313 , 115 ," 5,179 "," 3,072 "," 3,139 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RA7 University Hospitals Bristol NHS Foundation Trust ," 1,267 "," 23,361 "," 2,031 "," 3,647 ", 490 ," 1,708 "," 11,590 ", 873 ," 7,579 "," 5,551 "," 12,259 "," 1,829 "," 2,918 "," 4,544 "," 12,128 "," 3,139 "," 2,806 "," 11,086 "," 7,203 "," 10,196 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RA9 South Devon Healthcare NHS Foundation Trust , 709 ," 9,383 "," 1,070 ", 646 , 260 ," 1,308 "," 2,537 ", 641 ," 4,445 "," 3,971 "," 8,855 "," 1,049 "," 4,422 "," 3,564 "," 4,432 ", 530 , 228 ," 6,447 "," 5,667 "," 4,937 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RBA Taunton and Somerset NHS Foundation Trust , 788 ," 10,239 "," 1,020 "," 1,122 ", 162 ," 1,436 "," 3,571 ", 509 ," 5,629 "," 3,573 "," 6,939 "," 1,447 "," 5,455 "," 3,657 "," 9,702 "," 1,114 ", 329 ," 12,846 "," 4,613 "," 4,944 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RBB Royal National Hospital For Rheumatic Diseases NHS Foundation Trust , 19 , 27 , 74 , 23 , * , 31 , * , -   , 34 , * ," 1,083 ", 72 ," 1,938 ", * , -   , -   , 19 , 258 , 50 , 53 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RBD Dorset County Hospital NHS Foundation Trust , 442 ," 3,500 ", 914 , 808 , 160 , 905 ," 3,022 ", 353 ," 4,206 "," 2,925 "," 5,946 "," 1,020 "," 6,784 "," 4,324 "," 4,098 ", 290 , 179 ," 5,540 "," 3,320 "," 3,839 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RBZ Northern Devon Healthcare NHS Trust , 611 ," 5,996 ", 748 , 481 , 237 , 954 ," 1,788 ", 345 ," 3,125 "," 2,530 "," 5,703 ", 666 ," 4,029 "," 2,750 "," 4,252 ", 235 , 112 ," 4,558 "," 2,668 "," 2,971 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RD1 Royal United Hospital Bath NHS Trust , 958 ," 7,320 "," 1,306 "," 1,083 ", 407 ," 1,223 "," 2,902 ", 649 ," 6,280 "," 4,973 "," 9,258 "," 1,290 "," 5,221 "," 4,164 "," 1,090 ", 606 , 250 ," 7,283 "," 6,684 "," 1,784 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RD3 Poole Hospital NHS Foundation Trust ," 1,714 "," 4,835 ", 988 , 623 , 295 ," 1,002 ", 114 , 823 ," 3,400 "," 4,859 "," 8,276 "," 1,703 "," 4,337 "," 2,798 "," 10,772 "," 1,476 ", 441 ," 7,352 "," 7,404 "," 6,989 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RDY Dorset Healthcare NHS Foundation Trust , -   , -   , -   , -   ," 1,331 ", * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 311 , * , 122 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RDZ The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust , 557 ," 15,310 "," 1,543 "," 1,451 ", 432 ," 2,800 "," 10,041 ", 219 ," 10,256 "," 2,875 "," 9,492 "," 2,562 "," 10,158 "," 5,311 "," 1,010 ", -   , 129 ," 18,048 "," 2,339 "," 6,976 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 REF Royal Cornwall Hospitals NHS Trust ," 1,253 "," 15,981 "," 1,876 "," 2,198 ", 586 ," 1,907 "," 3,866 "," 1,022 "," 8,239 "," 6,115 "," 14,389 "," 2,107 "," 7,727 "," 7,270 "," 9,648 "," 1,823 ", 644 ," 11,884 "," 9,412 "," 7,604 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RH5 Somerset Partnership NHS Foundation Trust , -   , -   , -   , -   ," 1,206 ", * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 160 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RH8 Royal Devon and Exeter NHS Foundation Trust ," 1,017 "," 20,247 "," 2,218 "," 1,385 ", 459 ," 1,385 "," 4,532 ", 698 ," 7,901 "," 4,425 "," 11,534 "," 2,035 "," 7,003 "," 6,246 "," 7,600 "," 1,653 ", 500 ," 9,463 "," 8,051 "," 7,619 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RJ8 Cornwall Partnership NHS Trust , -   , -   , -   , -   ," 1,444 ", 19 , -   , -   , * , * , * , -   , -   , * , -   , -   , -   , 10 , 22 , 18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RK9 Plymouth Hospitals NHS Trust ," 1,184 "," 15,495 "," 2,391 "," 1,335 ", 391 ," 2,090 "," 5,561 "," 1,254 "," 8,732 "," 6,304 "," 8,814 "," 3,583 "," 7,574 "," 6,879 "," 12,916 "," 2,305 "," 1,027 "," 11,559 "," 8,228 "," 8,068 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RN3 Great Western Hospitals NHS Foundation Trust , 522 ," 8,109 ", 870 , 816 , 324 ," 1,852 "," 2,277 ", 548 ," 4,768 "," 4,050 "," 10,040 "," 1,322 "," 7,009 "," 5,016 "," 7,499 ", 952 , 380 ," 8,654 "," 5,634 "," 6,664 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RNZ Salisbury NHS Foundation Trust , 499 ," 5,153 ", 595 , 383 , 160 , 924 ," 1,969 ", 278 ," 3,242 "," 2,385 "," 6,079 "," 1,736 "," 4,774 "," 3,907 "," 5,824 "," 1,215 ", 766 ," 6,271 "," 5,542 "," 3,157 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RTE Gloucestershire Hospitals NHS Foundation Trust ," 1,616 "," 37,420 "," 2,075 "," 1,561 ", 265 ," 2,494 "," 6,012 ", 793 ," 7,902 "," 7,019 "," 16,644 "," 2,071 "," 10,605 "," 7,295 "," 11,474 "," 1,899 ", 718 ," 15,395 "," 8,319 "," 9,307 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RTQ 2Gether NHS Foundation Trust , -   , -   , * , -   ," 1,220 ", 81 , -   , -   , * , -   , -   , * , -   , -   , -   , -   , * , 29 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RVJ North Bristol NHS Trust , 718 ," 10,721 "," 1,943 "," 1,245 ", 461 ," 3,477 ", 141 , 443 ," 6,427 "," 4,091 "," 11,860 "," 2,440 "," 11,657 "," 9,935 "," 15,597 "," 3,418 "," 1,402 "," 12,671 "," 9,891 "," 7,707 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RVN Avon and Wiltshire Mental Health Partnership NHS Trust , -   , -   , -   , -   ," 1,202 ", 19 , -   , -   , * , -   , -   , -   , * , -   , -   , -   , -   ," 1,572 ", * , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RWV Devon Partnership NHS Trust , * , -   , -   , * ," 1,852 ", 116 , * , -   , 7 , 7 , * , -   , * , * , -   , -   , * , 126 , 17 , 61 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 TAL Torbay Care Trust , * , 60 , 34 , 16 , * , 10 , -   , -   , 101 , 106 , 48 , 48 , 69 , 66 , -   , -   , -   , 76 , 328 , 169 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Q34 West Midlands Strategic Health Authority ," 19,042 "," 181,736 "," 23,439 "," 22,006 "," 20,038 "," 33,131 "," 52,152 "," 9,939 "," 98,899 "," 87,073 "," 160,558 "," 32,161 "," 134,047 "," 99,491 "," 152,957 "," 25,753 "," 14,024 "," 171,123 "," 94,584 "," 103,784 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5CN Herefordshire PCT , 20 , 121 , 30 , 38 , 118 , 53 , * , -   , 260 , 132 , 181 , 49 , 536 , 98 , -   , -   , * ," 1,096 ", 315 ," 1,672 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5M1 South Birmingham PCT , 35 , 172 , 21 , 38 , 45 , 88 , * , * , 206 , 78 ," 1,295 ", 48 , 320 , 93 , -   , -   , -   , 138 , 212 , 262 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5M2 Shropshire County PCT , 12 , 182 , 36 , 19 , 24 , 119 , -   , * , 275 , 181 , 185 , 69 , 211 , 180 , -   , -   , * , 166 , 261 , 262 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5M3 Walsall Teaching PCT , -   , -   , -   , -   , 192 , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , 53 , -   , 45 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5MD Coventry Teaching Pct , -   , * , -   , -   , 747 , 46 , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , * , -   , 36 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5MK Telford and Wrekin PCT , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 254 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5MV Wolverhampton City PCT , 16 , 21 , * , * , 545 , 61 , -   , -   , 226 , 43 , 35 , 23 , 36 , 35 , -   , -   , -   , 79 , 169 , 32 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
