"Table E: Finished admission episodes by primary diagnosis chapter for England, SHA and individual provider (2012-13)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Health and Social Care Information Centre, Hospital Episode Statistics for England. Inpatient statistics, 2012-13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, SHA/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Factors influencing health status and contact with health services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT455, BMI - Mount Alvernia Hospital , * , 15 , -   , * , -   , 21 , * , * , -   , 13 , 97 , 8 , 256 , 25 , -   , -   , * , 16 , -   , 7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXH, Brighton and Sussex University Hospitals NHS Trust ," 2,366 "," 9,803 "," 2,436 "," 1,915 "," 1,004 "," 3,323 "," 3,767 ", 821 ," 9,381 "," 6,147 "," 13,722 "," 1,799 "," 10,564 "," 7,441 "," 7,142 "," 1,370 ", 932 ," 14,953 "," 10,278 "," 8,003 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN7-X, Dartford and Gravesham NHS Trust ," 2,020 "," 8,121 ", 775 , 952 , 309 , 983 , 80 , 64 ," 3,558 "," 3,679 "," 7,061 ", 964 ," 3,798 "," 5,193 "," 7,615 "," 1,056 ", 163 ," 8,306 "," 4,285 "," 6,104 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNE02, Dorking General Hospital , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , * , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RVV, East Kent Hospitals University NHS Foundation Trust ," 3,072 "," 17,613 "," 2,697 "," 2,378 "," 1,183 "," 3,300 "," 8,379 ", 989 ," 11,980 "," 9,823 "," 21,381 "," 3,640 "," 18,233 "," 11,781 "," 10,389 "," 1,236 ", 653 ," 22,855 "," 10,977 "," 12,184 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXC, East Sussex Healthcare NHS Trust ," 2,434 "," 15,845 "," 2,244 "," 1,364 ", 420 ," 2,083 "," 4,279 ", 566 ," 8,035 "," 6,226 "," 13,661 "," 2,117 "," 7,865 "," 5,412 "," 5,671 "," 1,981 ", 326 ," 9,389 "," 6,216 "," 4,582 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDA25, Farnham Hospital & Centre For Health , * , 12 , * , 6 , -   , 13 , * , -   , 74 , 10 , * , 11 , 43 , 14 , -   , -   , -   , 168 , 98 , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDU, Frimley Park Hospital NHS Foundation Trust ," 1,836 "," 5,294 ", 759 , 849 , 421 ," 1,412 "," 3,542 ", 489 ," 6,899 "," 4,381 "," 11,010 "," 2,330 "," 11,572 "," 6,482 "," 7,057 "," 1,332 ", 462 ," 11,037 "," 6,024 "," 6,925 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDA03, Haslemere and District Hospital Opd , * , 12 , * , * , * , 18 , -   , -   , 6 , 13 , * , 7 , 18 , 7 , -   , -   , * , 40 , 30 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXY, Kent and Medway NHS and Social Care Partnership Trust , * , * , -   , -   ," 2,828 ", 174 , -   , -   , 16 , -   , -   , -   , -   , -   , -   , -   , * , 14 , 10 , 11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYY, Kent Community Health NHS Trust , 15 , 73 , 16 , 18 , 21 , 32 , * , * , 143 , 99 , 45 , 44 , 70 , 67 , -   , -   , -   ," 1,371 ", 401 , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWF, Maidstone and Tunbridge Wells NHS Trust ," 2,196 "," 5,809 "," 1,128 "," 1,041 ", 355 ," 1,232 "," 5,401 ", 506 ," 5,494 "," 5,694 "," 12,806 "," 1,522 "," 7,400 "," 5,834 "," 7,655 "," 2,244 ", 297 ," 11,129 "," 7,823 "," 6,384 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPA, Medway NHS Foundation Trust ," 2,448 "," 5,097 "," 1,157 ", 953 , 704 ," 1,205 ", 96 , 753 ," 4,552 "," 6,234 "," 8,752 "," 1,147 "," 7,312 "," 5,843 "," 6,350 "," 1,435 ", 438 ," 8,668 "," 5,175 "," 6,796 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDA26, Milford Specialist Rehabilitation Hospital , * , * , -   , -   , * , * , -   , -   , 44 , 14 , 6 , * , * , 10 , -   , -   , -   , 93 , 80 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC11, North Downs Hospital , 28 , 46 , 8 , * , * , 63 , 18 , -   , 85 , 10 , 441 , 33 , 851 , 231 , -   , -   , * , 106 , 14 , 52 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT205," Nuffield Health, Brighton Hospital ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 30 , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT212," Nuffield Health, Chichester Hospital ", -   , * , -   , -   , -   , 9 , -   , -   , -   , -   , -   , * , 187 , -   , -   , -   , -   , -   , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT218," Nuffield Health, Haywards Heath Hospital ", * , * , -   , -   , -   , -   , -   , -   , * , -   , 26 , * , 85 , -   , -   , -   , -   , * , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT239," Nuffield Health, Tunbridge Wells Hospital ", -   , * , -   , -   , -   , -   , * , -   , -   , * , -   , -   , 13 , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT241," Nuffield Health, Woking Hospital ", -   , -   , -   , -   , -   , 14 , 227 , -   , -   , -   , 27 , -   , 365 , * , -   , -   , -   , * , 11 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPC, Queen Victoria Hospital NHS Foundation Trust , 40 ," 2,798 ", * , 41 , 17 ," 1,494 "," 1,909 ", 14 , 10 , 42 ," 2,611 "," 1,067 "," 1,077 ", 133 , * , -   , 369 , 626 ," 5,000 ", 900 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RA2, Royal Surrey County Hospital NHS Foundation Trust ," 1,144 "," 11,994 "," 1,807 ", 585 , 141 , 996 ," 2,324 ", 523 ," 2,602 "," 3,333 "," 11,969 "," 1,430 "," 5,191 "," 3,845 "," 5,000 ", 925 , 280 ," 8,336 "," 3,819 "," 5,522 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT312, Spire Alexandra Hospital , * , 58 , * , * , -   , 15 , -   , * , 18 , -   , 101 , 47 , 540 , 177 , -   , -   , * , 18 , 20 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT308, Spire Gatwick Park Hospital , -   , 12 , -   , -   , -   , 21 , -   , -   , 11 , -   , 105 , * , 503 , 112 , -   , -   , * , 20 , 18 , 7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT364, Spire Montefiore Hospital , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , * , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT346, Spire St Saviours Hospital , * , 47 , * , * , -   , 12 , 385 , -   , 96 , -   , 334 , 25 , 493 , 189 , -   , -   , -   , 39 , 19 , 10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT309, Spire Sussex Hospital , -   , 11 , -   , -   , -   , 30 , -   , -   , -   , -   , 21 , * , 243 , 44 , -   , -   , -   , * , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT310, Spire Tunbridge Wells Hospital , * , 23 , * , -   , -   , * , 79 , * , 29 , 42 , 114 , * , 27 , 112 , -   , -   , * , 25 , 7 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ713, St Bartholomew's Hospital (Rochester) , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , * , -   , -   , -   , -   , -   , -   , 464 , * , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXX, Surrey and Borders Partnership NHS Foundation Trust , -   , -   , -   , -   ," 1,486 ", 18 , -   , -   , -   , * , * , -   , -   , -   , -   , -   , -   ," 1,426 ", * , 13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTP, Surrey and Sussex Healthcare NHS Trust ," 2,489 "," 3,957 "," 1,348 ", 748 , 480 ," 1,144 "," 3,350 ", 734 ," 5,147 "," 5,546 "," 11,754 "," 1,328 "," 4,719 "," 4,795 "," 5,799 "," 1,795 ", 353 ," 10,532 "," 5,667 "," 5,582 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDR, Sussex Community NHS Trust , 10 , 36 , * , 24 , 27 , 101 , * , * , 254 , 59 , 36 , 44 , 507 , 58 , -   , -   , 51 ," 1,721 ", 186 , 196 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX2, Sussex Partnership NHS Foundation Trust , * , * , -   , -   ," 3,510 ", 164 , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , 684 , 12 , 16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NXM01, The Horder Centre - St Johns Road , * , 11 , -   , * , -   , 172 , -   , -   , -   , -   , -   , 14 ," 3,943 ", * , -   , -   , 15 , 12 , 231 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTYF1, The Spencer Wing , * , 15 , * , -   , * , * , 702 , 8 , 19 , 14 , 78 , 7 , 374 , 106 , * , -   , * , 439 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NN801, The Spencer Wing (Ramsgate Road) , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , * , -   , 33 , * , -   , -   , -   ," 1,136 ", -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDA07, Walton Community Hospital , * , * , * , * , 6 , * , -   , -   , 26 , 24 , 6 , 9 , 21 , 21 , -   , -   , -   , 87 , 103 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYR-X, Western Sussex Hospitals NHS Trust ," 2,844 "," 14,756 "," 2,777 "," 1,444 ", 966 ," 2,374 "," 3,846 ", 462 ," 8,483 "," 6,276 "," 16,572 "," 2,185 "," 8,110 "," 8,120 "," 7,322 "," 1,511 ", 177 ," 14,898 "," 8,851 "," 8,418 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTP16, Will Adams NHS Treatment Centre , 25 , 153 , 20 , -   , -   , 36 ," 1,193 ", -   , 159 , -   ," 1,006 ", 97 , 187 , 31 , -   , -   , * , 161 , * , 62 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ719, Wisdom Hospice , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , 382 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDA18, Woking Community Hospital , * , * , * , * , * , 19 , -   , -   , 85 , 16 , 8 , 9 , 17 , 17 , -   , -   , * , 53 , 100 , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q39, SOUTH WEST STRATEGIC HEALTH AUTHORITY ," 31,070 "," 212,265 "," 26,569 "," 21,097 "," 12,568 "," 31,861 "," 65,772 "," 9,450 "," 100,335 "," 77,752 "," 178,587 "," 26,899 "," 123,955 "," 86,652 "," 121,453 "," 23,274 "," 7,705 "," 175,539 "," 112,350 "," 113,089 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
