"Table E: Finished admission episodes by primary diagnosis chapter for England, SHA and individual provider (2011-12)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Health and Social Care Information Centre, Hospital Episode Statistics for England. Inpatient statistics, 2011-12. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please see HESonline [http://www.hesonline.nhs.uk] for more information on data quality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, SHA/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Factors influencing health status and contact with health services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT235," Nuffield Health, Shrewsbury Hospital ", -   , * , -   , -   , -   , 24 , 88 , -   , -   , -   , 22 , * , 70 , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT224," Nuffield Health, Warwickshire Hospital ", * , * , -   , -   , -   , 11 , -   , -   , -   , -   , -   , * , 117 , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT242," Nuffield Health, Wolverhampton Hospital ", -   , * , -   , -   , -   , 38 , 716 , -   , -   , -   , 42 , * , 213 , -   , -   , -   , -   , -   , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC17, Rowley Hall Hospital , * , 22 , * , -   , -   , 35 , 632 , * , 37 , -   , 271 , 18 , 386 , 295 , -   , -   , 7 , 165 , 44 , 19 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXK-X, Sandwell and West Birmingham Hospitals NHS Trust ," 2,099 "," 10,927 "," 1,713 "," 1,795 "," 1,214 "," 2,044 "," 8,984 ", 219 ," 7,635 "," 6,777 "," 11,263 "," 3,453 "," 7,252 "," 6,443 "," 8,622 "," 2,645 ", 810 ," 12,878 "," 8,272 "," 5,954 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXW, Shrewsbury and Telford Hospital NHS Trust ," 1,473 "," 18,768 "," 2,213 "," 1,683 ", 357 ," 1,963 "," 3,893 ", 863 ," 7,257 "," 6,734 "," 17,156 "," 1,802 "," 5,398 "," 6,511 "," 6,920 "," 2,203 ", 426 ," 11,396 "," 6,806 "," 7,160 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1D, Shropshire Community Health NHS Trust , 12 , 150 , 8 , 18 , 23 , 92 , * , * , 156 , 147 , 805 , 55 , 154 , 93 , -   , -   , -   , 218 , 279 , 311 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5M2, Shropshire County PCT , * , 49 , * , * , 7 , 37 , -   , -   , 69 , 47 , 24 , 18 , 44 , 21 , -   , -   , -   , 62 , 73 , 12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRE, South Staffordshire and Shropshire Healthcare NHS Foundation Trust , -   , * , -   , * ," 1,888 ", 44 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , 338 , -   , 35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5PK, South Staffordshire PCT , 7 , 27 , 17 , * , -   , 82 , * , -   , 38 , 22 , 274 , 129 , 297 ," 1,595 ", 146 , * , * , 135 , 76 , 216 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJC, South Warwickshire NHS Foundation Trust , 863 ," 7,556 ", 866 , 896 , 210 , 912 ," 1,597 ", 390 ," 2,289 "," 2,988 "," 5,695 ", 933 ," 4,530 "," 3,825 "," 6,162 "," 1,288 ", 224 ," 6,099 "," 3,236 "," 4,222 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT321, Spire Little Aston Hospital , * , 27 , -   , -   , -   , 90 , -   , * , -   , 6 , 74 , 43 , 748 , 59 , -   , -   , * , * , 9 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT320, Spire Parkway Hospital , -   , 16 , -   , -   , -   , 35 , 35 , -   , * , -   , 91 , 9 , 534 , 160 , -   , -   , * , 7 , 12 , 16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT301, Spire South Bank Hospital , * , 29 , -   , -   , -   , 139 , -   , 10 , 62 , 48 , 224 , 7 , 531 , 188 , -   , -   , * , 25 , 17 , 53 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1E, Staffordshire and Stoke On Trent Partnership NHS Trust , 22 , 277 , 107 , 38 , 56 , 710 , 24 , * , 355 , 198 , 71 , 254 ," 3,595 ", 112 , -   , * , 10 , 743 , 524 , 67 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5PJ, Stoke On Trent PCT , -   , * , -   , -   , * , * , -   , -   , 20 , 10 , * , * , 14 , 9 , -   , -   , -   , 55 , 39 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5MK, Telford and Wrekin PCT , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 74 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNA, The Dudley Group NHS Foundation Trust ," 1,610 "," 13,894 "," 1,059 "," 1,176 ", 468 ," 1,590 "," 3,489 ", 545 ," 5,494 "," 5,889 "," 11,490 "," 2,194 "," 11,046 "," 5,370 "," 14,787 "," 2,226 ", 793 ," 10,456 "," 6,439 "," 7,924 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTA03, The Midlands NHS Treatment Centre , * , 131 , -   , 39 , * , 70 , 819 , 16 , 43 , 10 , 121 , 121 , 521 , 268 , -   , -   , * , 320 , * , 174 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL1, The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust , 9 , 349 , 6 , 8 , 7 ," 1,108 ", * , -   , 40 , 25 , 8 , 185 ," 9,825 ", 81 , -   , * , 186 , 65 ," 1,562 ", 630 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRJ, The Royal Orthopaedic Hospital NHS Foundation Trust , * ," 1,878 ", 9 , * , -   , 605 , -   , -   , * , -   , * , 70 ," 9,616 ", * , -   , -   , 235 , 11 ," 1,296 ", 665 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL4, The Royal Wolverhampton Hospitals NHS Trust ," 1,402 "," 19,172 "," 1,969 "," 1,282 ", 379 ," 1,513 "," 4,018 ", 513 ," 8,491 "," 5,321 "," 10,398 "," 1,564 "," 7,194 "," 6,104 "," 8,811 "," 1,578 ", 608 ," 10,816 "," 4,631 "," 7,287 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC44, The Westbourne Centre , -   , -   , -   , -   , -   , -   , 9 , -   , -   , -   , * , * , * , -   , -   , -   , -   , -   , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJE, University Hospital of North Staffordshire NHS Trust ," 2,563 "," 18,701 "," 1,837 "," 1,741 ", 916 ," 4,629 "," 3,710 ", 791 ," 10,670 "," 9,421 "," 16,748 "," 2,629 "," 6,096 "," 8,237 "," 11,233 "," 2,604 ", 821 ," 16,328 "," 10,375 "," 9,738 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRK-X, University Hospitals Birmingham NHS Foundation Trust , 695 ," 14,177 "," 1,359 "," 1,820 ", 515 ," 3,237 "," 2,990 ", 625 ," 9,148 "," 3,940 "," 12,528 "," 2,120 "," 6,539 "," 3,644 ", 148 , -   , 758 ," 10,343 "," 9,715 "," 3,330 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RKB, University Hospitals Coventry and Warwickshire NHS Trust ," 1,360 "," 18,540 "," 2,473 "," 2,223 ", 827 ," 3,423 "," 3,967 ", 694 ," 8,146 "," 6,314 "," 14,679 "," 1,922 "," 11,892 "," 8,535 "," 13,419 "," 2,380 ", 896 ," 14,189 "," 10,642 "," 8,924 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBK, Walsall Healthcare NHS Trust , 921 ," 5,830 "," 1,046 "," 1,419 ", 306 , 825 , 992 , 346 ," 4,280 "," 3,813 "," 7,572 "," 1,147 "," 5,705 "," 3,798 "," 8,639 "," 1,273 ", 280 ," 5,878 "," 3,085 "," 5,884 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5M3, Walsall Teaching PCT , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , * , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC21, West Midlands Hospital , * , 32 , 10 , * , -   , 77 , 33 , * , 19 , 14 , 415 , 37 , 945 , 462 , -   , -   , * , 128 , 13 , 24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5MV, Wolverhampton City PCT , -   , -   , -   , -   , 142 , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWP-X, Worcestershire Acute Hospitals NHS Trust ," 1,471 "," 12,958 "," 1,916 "," 1,464 ", 505 ," 2,045 "," 5,952 ", 679 ," 8,082 "," 7,005 "," 14,824 "," 1,814 "," 8,183 "," 8,538 "," 11,662 "," 2,158 ", 441 ," 12,829 "," 8,291 "," 7,979 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1A, Worcestershire Health and Care NHS Trust , 18 , 263 , 28 , 16 , 663 , 103 , * , * , 248 , 195 , 87 , 47 , 76 , 147 , -   , -   , * ," 2,757 ", 348 , 10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWQ, Worcestershire Mental Health Partnership NHS Trust , -   , -   , -   , -   , 259 , 18 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 645 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5PL, Worcestershire PCT , * , 115 , 8 , 9 , 8 , 59 , -   , * , 94 , 50 , 144 , 17 , 253 , 182 , -   , -   , * , 322 , 112 , 49 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLQ, Wye Valley NHS Trust , 586 ," 3,908 ", 437 , 746 , 202 , 970 ," 1,932 ", 391 ," 2,578 "," 2,602 "," 4,177 ", 897 ," 5,066 "," 2,859 "," 4,610 ", 677 , 174 ," 3,967 "," 2,911 "," 4,677 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q32, YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY ," 23,838 "," 185,173 "," 29,370 "," 27,135 "," 18,286 "," 30,602 "," 70,316 "," 9,421 "," 99,361 "," 89,612 "," 205,588 "," 32,435 "," 125,380 "," 91,065 "," 143,373 "," 20,573 "," 10,550 "," 188,659 "," 109,192 "," 123,547 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCF, Airedale NHS Foundation Trust , 928 ," 7,356 "," 1,107 ", 991 , 220 , 770 , 934 , 206 ," 3,187 "," 2,749 "," 7,088 ", 754 ," 2,306 "," 4,178 "," 7,115 ", 447 , 120 ," 4,807 "," 2,447 "," 6,015 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFF, Barnsley Hospital NHS Foundation Trust ," 1,184 "," 5,455 "," 1,250 "," 1,193 ", 256 , 807 , 75 , 388 ," 3,859 "," 4,262 "," 8,995 "," 1,764 "," 3,207 "," 3,742 "," 8,050 ", 864 , 103 ," 9,086 "," 3,837 "," 5,587 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT447, BMI The Duchy Hospital , -   , * , -   , -   , -   , 18 , -   , -   , -   , 8 , 73 , * , 383 , 52 , -   , -   , * , 31 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT448, BMI The Huddersfield Hospital , -   , 9 , -   , -   , -   , 105 , 119 , -   , * , -   , 213 , * , 514 , 167 , -   , -   , -   , 51 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT440, BMI - Thornbury Hospital , -   , 19 , * , -   , * , 37 , 28 , -   , 79 , -   , 193 , 10 , 100 , 80 , -   , -   , * , 24 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAD, Bradford District Care Trust , -   , -   , -   , -   , 534 , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 671 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
